"","Home_ID","Away_ID","Day","Home_pts","Away_pts","Spread_Pred.x","Spread_Pred.y","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals","Home_TPG","Away_TPG","Home_TSG","Away_TSG","Home_TOG","Away_TOG","Home_PPG","Away_PPG","Home_SPG","Away_SPG","Home_OPG","Away_OPG","Matchup_ID","Left_ID","Right_ID","Left_pts","Right_pts","Left_FGPct","Right_FGPct","Left_oreb","Right_oreb","Left_3Pct","Right_3Pct","Left_TPG","Right_TPG","Left_TSG","Right_TSG","Left_TOG","Right_TOG","Left_PPG","Right_PPG","Left_SPG","Right_SPG","Left_OPG","Right_OPG"
"997",1610612765,1610612766,1610612766,103,113,-2,-2,-10,17,13,0.449,0.5,0.333333333,0.333333333,5,11,7353,7491,476,531,724,771,111.409090909091,111.805970149254,7.21212121212121,7.92537313432836,10.969696969697,11.5074626865672,6566,1610612765,1610612766,103,113,0.449,0.5,17,13,0.333333333,0.333333333,7353,7491,476,531,724,771,111.409090909091,111.805970149254,7.21212121212121,7.92537313432836,10.969696969697,11.5074626865672
"998",1610612747,1610612761,1610612761,122,112,NA,NA,10,5,10,0.563,0.5,0.433333333,0.357142857,8,14,7698,7530,422,620,646,850,116.636363636364,112.388059701493,6.39393939393939,9.25373134328358,9.78787878787879,12.6865671641791,4761,1610612747,1610612761,122,112,0.563,0.5,5,10,0.433333333,0.357142857,7698,7530,422,620,646,850,116.636363636364,112.388059701493,6.39393939393939,9.25373134328358,9.78787878787879,12.6865671641791
"999",1610612748,1610612739,1610612739,119,115,2,2,4,11,8,0.512,0.465,0.482758621,0.418604651,7,5,7258,7612,549,493,667,662,108.328358208955,111.941176470588,8.19402985074627,7.25,9.95522388059701,9.73529411764706,3948,1610612739,1610612748,115,119,0.465,0.512,8,11,0.418604651,0.482758621,7612,7258,493,549,662,667,111.941176470588,108.328358208955,7.25,8.19402985074627,9.73529411764706,9.95522388059701
"1000",1610612750,1610612751,1610612751,123,124,7,7,-1,12,12,0.49,0.462,0.3,0.470588235,10,7,7725,7497,550,469,602,513,115.298507462687,113.590909090909,8.2089552238806,7.10606060606061,8.98507462686567,7.77272727272727,5051,1610612750,1610612751,123,124,0.49,0.462,12,12,0.3,0.470588235,7725,7497,550,469,602,513,115.298507462687,113.590909090909,8.2089552238806,7.10606060606061,8.98507462686567,7.77272727272727
"1001",1610612755,1610612757,1610612757,120,119,9,9,1,12,5,0.518,0.525,0.366666667,0.416666667,7,6,7476,7561,507,427,552,638,115.015384615385,114.560606060606,7.8,6.46969696969697,8.49230769230769,9.66666666666667,5557,1610612755,1610612757,120,119,0.518,0.525,12,5,0.366666667,0.416666667,7476,7561,507,427,552,638,115.015384615385,114.560606060606,7.8,6.46969696969697,8.49230769230769,9.66666666666667
"1002",1610612759,1610612743,1610612743,128,120,-9,-9,8,13,8,0.543,0.489,0.393939394,0.371428571,10,14,7284,7711,451,495,774,663,112.061538461538,116.833333333333,6.93846153846154,7.5,11.9076923076923,10.0454545454545,4359,1610612743,1610612759,120,128,0.489,0.543,8,13,0.371428571,0.393939394,7711,7284,495,451,663,774,116.833333333333,112.061538461538,7.5,6.93846153846154,10.0454545454545,11.9076923076923
"1003",1610612764,1610612737,1610612737,107,114,1.5,1.5,-7,7,13,0.489,0.442,0.259259259,0.483870968,8,9,7479,7736,456,467,628,699,113.318181818182,117.212121212121,6.90909090909091,7.07575757575758,9.51515151515152,10.5909090909091,3764,1610612737,1610612764,114,107,0.442,0.489,13,7,0.483870968,0.259259259,7736,7479,467,456,699,628,117.212121212121,113.318181818182,7.07575757575758,6.90909090909091,10.5909090909091,9.51515151515152
"1004",1610612737,1610612738,1610612738,125,134,-2,-2,-9,13,5,0.5,0.547,0.294117647,0.476190476,4,6,7850,7880,476,424,712,648,117.164179104478,117.611940298507,7.1044776119403,6.32835820895522,10.6268656716418,9.67164179104478,3738,1610612737,1610612738,125,134,0.5,0.547,13,5,0.294117647,0.476190476,7850,7880,476,424,712,648,117.164179104478,117.611940298507,7.1044776119403,6.32835820895522,10.6268656716418,9.67164179104478
"1005",1610612740,1610612760,1610612760,96,110,2.5,2.5,-14,8,4,0.42,0.463,0.352941176,0.321428571,3,11,7529,7800,558,552,716,757,114.075757575758,118.181818181818,8.45454545454546,8.36363636363636,10.8484848484848,11.469696969697,4060,1610612740,1610612760,96,110,0.42,0.463,8,4,0.352941176,0.321428571,7529,7800,558,552,716,757,114.075757575758,118.181818181818,8.45454545454546,8.36363636363636,10.8484848484848,11.469696969697
"1006",1610612744,1610612749,1610612749,125,116,1.5,1.5,9,18,7,0.411,0.43,0.418181818,0.411764706,12,9,7905,7648,473,426,671,756,117.985074626866,115.878787878788,7.05970149253731,6.45454545454545,10.0149253731343,11.4545454545455,4449,1610612744,1610612749,125,116,0.411,0.43,18,7,0.418181818,0.411764706,7905,7648,473,426,671,756,117.985074626866,115.878787878788,7.05970149253731,6.45454545454545,10.0149253731343,11.4545454545455
"1007",1610612745,1610612741,1610612741,111,119,-6,-6,-8,6,13,0.482,0.512,0.470588235,0.46875,10,7,7277,7463,471,495,875,562,110.257575757576,113.075757575758,7.13636363636364,7.5,13.2575757575758,8.51515151515152,4145,1610612741,1610612745,119,111,0.512,0.482,13,6,0.46875,0.470588235,7463,7277,495,471,562,875,113.075757575758,110.257575757576,7.5,7.13636363636364,8.51515151515152,13.2575757575758
"1008",1610612746,1610612752,1610612752,106,95,1.5,1.5,11,7,20,0.483,0.356,0.333333333,0.225806452,3,5,7659,7843,472,412,663,861,112.632352941176,115.338235294118,6.94117647058824,6.05882352941176,9.75,12.6617647058824,4652,1610612746,1610612752,106,95,0.483,0.356,7,20,0.333333333,0.225806452,7659,7843,472,412,663,861,112.632352941176,115.338235294118,6.94117647058824,6.05882352941176,9.75,12.6617647058824
"1009",1610612753,1610612748,1610612748,126,114,-0.5,-0.5,12,15,5,0.485,0.447,0.351351351,0.297297297,10,8,7460,7377,480,556,677,678,111.34328358209,108.485294117647,7.16417910447761,8.17647058823529,10.1044776119403,9.97058823529412,4853,1610612748,1610612753,114,126,0.447,0.485,5,15,0.297297297,0.351351351,7377,7460,556,480,678,677,108.485294117647,111.34328358209,8.17647058823529,7.16417910447761,9.97058823529412,10.1044776119403
"1010",1610612756,1610612758,1610612758,119,128,4.5,4.5,-9,7,8,0.494,0.482,0.295454545,0.428571429,11,10,7478,7872,480,455,788,593,113.30303030303,121.107692307692,7.27272727272727,7,11.9393939393939,9.12307692307692,5658,1610612756,1610612758,119,128,0.494,0.482,7,8,0.295454545,0.428571429,7478,7872,480,455,788,593,113.30303030303,121.107692307692,7.27272727272727,7,11.9393939393939,9.12307692307692
"1011",1610612763,1610612742,1610612742,112,108,8.5,8.5,4,11,10,0.477,0.459,0.263157895,0.348837209,7,4,7530,7637,544,440,806,519,115.846153846154,113.985074626866,8.36923076923077,6.56716417910448,12.4,7.74626865671642,4263,1610612742,1610612763,108,112,0.459,0.477,10,11,0.348837209,0.263157895,7637,7530,440,544,519,806,113.985074626866,115.846153846154,6.56716417910448,8.36923076923077,7.74626865671642,12.4
"1012",1610612765,1610612754,1610612754,115,121,NA,NA,-6,12,18,0.457,0.462,0.323529412,0.257142857,7,7,7456,7754,481,536,741,662,111.283582089552,115.731343283582,7.17910447761194,8,11.0597014925373,9.88059701492537,5465,1610612754,1610612765,121,115,0.462,0.457,18,12,0.257142857,0.323529412,7754,7456,536,481,662,741,115.731343283582,111.283582089552,8,7.17910447761194,9.88059701492537,11.0597014925373
"1013",1610612766,1610612762,1610612762,111,119,2.5,2.5,-8,11,20,0.408,0.447,0.425,0.28125,5,4,7604,7855,542,433,784,792,111.823529411765,117.238805970149,7.97058823529412,6.46268656716418,11.5294117647059,11.8208955223881,6266,1610612762,1610612766,119,111,0.447,0.408,20,11,0.28125,0.425,7855,7604,433,542,792,784,117.238805970149,111.823529411765,6.46268656716418,7.97058823529412,11.8208955223881,11.5294117647059
"1014",1610612740,1610612757,1610612757,127,110,3.5,3.5,17,8,10,0.5,0.489,0.475,0.303030303,11,10,7625,7680,561,433,724,643,113.805970149254,114.626865671642,8.37313432835821,6.46268656716418,10.8059701492537,9.59701492537313,4057,1610612740,1610612757,127,110,0.5,0.489,8,10,0.475,0.303030303,7625,7680,561,433,724,643,113.805970149254,114.626865671642,8.37313432835821,6.46268656716418,10.8059701492537,9.59701492537313
